location,type,playplace,drive-thur,,
59-60 55TH ROAD MASPETH NY 11378 ,FREE STANDING,FALSE,TRUE,40.72660366,-73.906662
652 MEEKER AVE   KINGSLAND BROOKLYN NY 11222 ,FREE STANDING,FALSE,TRUE,40.72225112,-73.94052568
204-11 HILLSIDE AVE HOLLIS NY 11423 ,STOREFRONT,FALSE,FALSE,40.7204283,-73.76098242
167 CHAMBERS ST (303 GREENWICH ST) NEW YORK NY 10013 ,STOREFRONT,FALSE,FALSE,40.72023043,-74.00424416
106-15 71ST AVE FOREST HILLS NY 11375 ,STOREFRONT,FALSE,FALSE,40.71961958,-73.84516306
114 DELANCEY ST NEW YORK NY 10002 ,STOREFRONT,FALSE,FALSE,40.71871775,-73.98838246
262 CANAL ST NEW YORK NY 10013 ,STOREFRONT,FALSE,FALSE,40.7187061,-74.00096775
317 BROADWAY NEW YORK NY 10007 ,STOREFRONT,FALSE,FALSE,40.71565243,-74.00507388
120-34 QUEENS BLVD. QUEENS NY 11415 ,STOREFRONT,FALSE,FALSE,40.71339482,-73.82906165
181-25 HILLSIDE AVENUE JAMAICA NY 11432 ,FREE STANDING,TRUE,TRUE,40.71324806,-73.78160031
54-29 METROPOLITAN AVE RIDGEWOOD NY 11385 ,FREE STANDING,TRUE,TRUE,40.7131419,-73.90957947
213 MADISON STREET NEW YORK NY 10002 ,STOREFRONT,FALSE,FALSE,40.71272814,-73.9892228
741 GRAND ST BROOKLYN NY 11211 ,STOREFRONT,TRUE,FALSE,40.71171764,-73.94318358
98-01 METROPOLITAN AVE FOREST HILLS NY 11375 ,FREE STANDING,TRUE,TRUE,40.71107216,-73.85451268
52 FULTON ST (AKA 34 CLIFF ST) NEW YORK NY 10038 ,STOREFRONT,FALSE,FALSE,40.71042098,-74.00278959
160 BROADWAY NEW YORK NY 10038 ,STOREFRONT,FALSE,FALSE,40.70949149,-74.01019517
267 BROADWAY BROOKLYN NY 11211 ,STOREFRONT,FALSE,FALSE,40.70884696,-73.95898104
1420 HEMPSTEAD TRNPK ELMONT NY 11003-2401 ,FREE STANDING,FALSE,TRUE,40.70752759,-73.69343704
166-30 JAMAICA AVE QUEENS NY 11432 ,STOREFRONT,FALSE,FALSE,40.70615461,-73.79318111
159-01 JAMAICA AVENUE JAMAICA NY 11432 ,STOREFRONT,FALSE,FALSE,40.70350655,-73.79991082
138-32 JAMIACA AVE JAMAICA NY 11435 ,FREE STANDING,FALSE,TRUE,40.70252285,-73.81428169
70-02 COOPER AVE GLENDALE NY 11385 ,FREE STANDING,TRUE,TRUE,40.70189519,-73.88054664
700 BROADWAY BROOKLYN NY 11206 ,FREE STANDING,FALSE,TRUE,40.70163588,-73.94348428
90-67 SUTPHIN BLVD JAMAICA NY 11435 ,STOREFRONT,FALSE,FALSE,40.70115919,-73.80783636
54-04 MYRTLE AVE RIDGEWOOD NY 11385 ,STOREFRONT,FALSE,FALSE,40.69954882,-73.91089372
428 KNICKERBOCKER AVE BROOKLYN NY 11237 ,STOREFRONT,FALSE,FALSE,40.69947501,-73.91959461
216-07 LINDEN BLVD CAMBRIA HEIGHTS NY 11411 ,FREE STANDING,FALSE,TRUE,40.69620974,-73.74337608
91-01 JAMAICA AVENUE WOODHAVEN NY 11421 ,STOREFRONT,FALSE,FALSE,40.69310431,-73.85374855
82 COURT ST BROOKLYN NY 11201 ,STOREFRONT,FALSE,FALSE,40.69135483,-73.99161095
420 FULTON ST BROOKLYN NY 11201 ,STOREFRONT,FALSE,FALSE,40.69085493,-73.98591258
395 FLATBUSH AVE EXTEN BROOKLYN NY 11201 ,STOREFRONT,FALSE,FALSE,40.68932566,-73.98106066
1380 BROADWAY BROOKLYN NY 11221 ,FREE STANDING,FALSE,TRUE,40.68922542,-73.92167507
119-05 LIBERTY AVE RICHMOND HILLS NY 11419 ,STOREFRONT,FALSE,FALSE,40.6863664,-73.82389024
114-01 SUTPHIN BLVD JAMAICA NY 11434 ,FREE STANDING,FALSE,TRUE,40.68597129,-73.79359603
840 ATLANTIC AVE BROOKLYN NY 11238 ,FREE STANDING,FALSE,TRUE,40.68161716,-73.9672616
ATLANTIC TERMINAL BROOKLYN NY 11217 ,MALL,FALSE,FALSE,40.68125287,-73.98044508
1275 FULTON STEET BROOKLYN NY 11216 ,STOREFRONT,FALSE,FALSE,40.6804677,-73.95038883
1531 FULTON ST & TROOP AVENUE BROOKLYN NY 11216 ,FREE STANDING,FALSE,TRUE,40.67989143,-73.9399007
75-50 101ST AVE-QUEENS OZONE PARK NY 11416 ,FREE STANDING,TRUE,TRUE,40.67972207,-73.86187953
166-01 BAISLEY BOULEVARD JAMAICA NY 11434 ,FREE STANDING,FALSE,TRUE,40.67971285,-73.77716289
3143 ATLANTIC AVE BROOKLYN NY 11208-1937 ,FREE STANDING,FALSE,TRUE,40.67953046,-73.87944847
15 JAMAICA AVE BROOKLYN NY 11207 ,FREE STANDING,FALSE,TRUE,40.67725688,-73.8994855
1883 ATLANTIC AVENUE BROOKLYN NY 11207 ,FREE STANDING,FALSE,TRUE,40.67710185,-73.92260532
2800 ATLANTIC AVE BROOKLYN NY 11207-2628 ,FREE STANDING,FALSE,TRUE,40.67643384,-73.89074565
244-10 MERRICK BLVD ROSEDALE NY 11422 ,FREE STANDING,FALSE,TRUE,40.67409347,-73.72930826
357 HAMILTON AVE BROOKLYN NY 11231 ,FREE STANDING,FALSE,TRUE,40.67327877,-73.99934301
2797 LINDEN BLVD BROOKLYN NY 11208 ,FREE STANDING,FALSE,TRUE,40.66993482,-73.860889
289 9TH ST BROOKLYN NY 11215 ,STOREFRONT,FALSE,FALSE,40.66954175,-73.98694855
1642 PITKIN AVE BROOKLYN NY 11212 ,STOREFRONT,FALSE,FALSE,40.66936831,-73.91277434
1133 EASTERN PARKWAY BROOKLYN NY 11213 ,STOREFRONT,FALSE,FALSE,40.66900831,-73.93073932
221-12 SO CONDUIT AVE SPRINGFIELD GARDENS NY 11413 ,FREE STANDING,FALSE,TRUE,40.66550026,-73.7566672
537 BROADWAY BAYONNE NJ 07002 ,FREE STANDING,TRUE,TRUE,40.66537176,-74.11708152
57 EMPIRE BLVD BROOKLYN NY 11226 ,FREE STANDING,FALSE,TRUE,40.66335367,-73.96020031
33 BROAD ST ELIZABETH NJ 07201 ,STOREFRONT,FALSE,FALSE,40.66319702,-74.21491533
166-05 ROCKAWAY BLVD JAMAICA NY 11434 ,FREE STANDING,FALSE,TRUE,40.66012608,-73.77415068
10 W SUNRISE HWY VALLEY STREAM NY 11581 ,FREE STANDING,FALSE,TRUE,40.65951398,-73.70124719
BRITISH INTERNATIONAL TERMINAL 7 JAMAICA NY 11430 ,AIRPORT,FALSE,FALSE,40.65834133,-73.8024903
JFK AIRPORT TERMINAL 1 JAMAICA NY 11430 ,AIRPORT,FALSE,FALSE,40.65834133,-73.8024903
JOHN F KENNEDY AIRPORT JAMAICA NY 11430 ,AIRPORT,FALSE,FALSE,40.65834133,-73.8024903
JFK TERMINAL 4 JAMAICA NY 11430 ,AIRPORT,FALSE,FALSE,40.65834133,-73.8024903
159-40 CROSS BAY BLVD HOWARD BEACH NY 11414 ,FREE STANDING,FALSE,TRUE,40.65794169,-73.83969469
819 PENNSYLVANIA AVE BROOKLYN NY 11207 ,FREE STANDING,TRUE,TRUE,40.6576781,-73.88982748
701 UTICA AVE BROOKLYN NY 11203 ,FREE STANDING,TRUE,TRUE,40.65627982,-73.93083634
180 PARKSIDE AVE BROOKLYN NY 11226 ,STOREFRONT,FALSE,FALSE,40.65492416,-73.96168971
968 4TH AVE & 37TH BROOKLYN NY 11232 ,FREE STANDING,FALSE,TRUE,40.65372886,-74.00517128
2142 3RD AVE NEW YORK NY 10027 ,STOREFRONT,TRUE,FALSE,40.65371268,-74.00858121
420-34 RTE 1 N ELIZABETH NJ 07208 ,FREE STANDING,TRUE,TRUE,40.65360912,-74.21253381
5707-13 CHURCH AVE BROOKLYN NY 11203 ,FREE STANDING,FALSE,TRUE,40.65251917,-73.92311016
943 FLATBUSH AVE & SNYDER BROOKLYN NY 11226 ,STOREFRONT,FALSE,FALSE,40.64857744,-73.95822396
2240 FLATBUSH AVE.   FILMORE BROOKLYN NY 11226 ,FREE STANDING,FALSE,TRUE,40.64660509,-73.95810853
3525 FORT HAMILTON PKY BROOKLYN NY 11218 ,FREE STANDING,TRUE,TRUE,40.6450986,-73.98694598
5804 CLAREDON RD NEW YORK NY 11203 ,FREE STANDING,FALSE,TRUE,40.6449415,-73.92161154
1467 ROCKAWAY PKY BROOKLYN NY 11236 ,STOREFRONT,FALSE,FALSE,40.64440301,-73.90142998
5121 5TH AVE BROOKLYN NY 11220 ,STOREFRONT,TRUE,FALSE,40.64436599,-74.01102644
880 CONEY ISLAND BROOKLYN NY 11218 ,FREE STANDING,FALSE,TRUE,40.63589121,-73.96784483
7602 FLATLANDS AVE BROOKLYN NY 11236 ,FREE STANDING,FALSE,TRUE,40.63382591,-73.91582532
